,Unnamed: 0,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
366,955884,tt0986361,movie,The Magic Crystal,,0,2011,80,"Adventure,Animation,Comedy"
367,958130,tt0988655,movie,A Flat,,0,2010,103,"Drama,Horror,Romance"
368,958330,tt0988858,movie,The Gainesville Ripper,,0,2010,90,Horror
369,959208,tt0989757,movie,Dear John,,0,2010,108,"Drama,Romance,War"
370,959804,tt0990363,movie,Detention,,0,2010,81,"Horror,Thriller"
371,959840,tt0990407,movie,The Green Hornet,,0,2011,119,"Action,Comedy,Crime"
374,963161,tt0993842,movie,Hanna,,0,2011,111,"Action,Drama,Thriller"
375,964208,tt0994917,movie,Adventure Scouts,,0,2010,83,"Action,Adventure,Comedy"
376,965130,tt0995867,movie,The Unforgiven,,0,2011,115,Drama
377,966278,tt0997035,movie,Bibliothèque Pascal,,0,2010,105,Drama
378,966382,tt0997152,movie,The Experiment,,0,2010,96,"Drama,Thriller"
380,966459,tt0997232,movie,Two Knives,,0,2011,107,Action
381,969091,tt0999913,movie,Straw Dogs,,0,2011,110,"Action,Drama,Thriller"
784,974781,tt10010654,movie,Rosso Autunno,,0,2010,\N,Drama
969,977404,tt1001526,movie,Megamind,,0,2010,95,"Action,Animation,Comedy"
1230,983456,tt1002569,movie,If You Only Knew,,0,2011,106,Drama
2478,1008183,tt1006907,movie,Last Breath,,0,2010,91,Horror
2479,1008855,tt1007029,movie,The Iron Lady,,0,2011,105,"Biography,Drama"
2735,1014086,tt1007941,movie,Colombian Interviews,,0,2011,\N,"Drama,Thriller"
2763,1014506,tt1008015,movie,Opal,,0,2010,79,Drama
2764,1014685,tt1008046,movie,The Steamroom,,0,2010,91,"Comedy,Drama"
2778,1015199,tt10081374,movie,The Magic Skin,,0,2011,75,Drama
2895,1018601,tt10087304,movie,He - The Only One,,0,2010,\N,Action
2904,1018724,tt10087516,movie,Nguoi Con Cua Rông,,0,2010,100,"Adventure,Animation"
3019,1021732,tt10092776,movie,The Murderer: Hamilton Palace,,0,2011,108,Action
3231,1026457,tt10101080,movie,"Une rencontre, une histoire",,0,2011,\N,Drama
3240,1027362,tt1010270,movie,Love Sick Diaries,,0,2010,\N,Drama
3583,1031885,tt10110584,movie,Ghost Hustlers,,0,2011,\N,Comedy
4441,1047123,tt10137436,movie,JAI SHREE VEER BABA DEO,,0,2011,\N,Drama
4442,1047125,tt1013743,movie,Knight and Day,,0,2010,109,"Action,Adventure,Comedy"
4549,1047814,tt1013860,movie,Dylan Dog: Dead of Night,,0,2010,108,"Action,Comedy,Crime"
4552,1048192,tt10139276,movie,Dvenadtsatiletniy Sherlok Kholms,,0,2011,98,"Adventure,Family"
4688,1051521,tt10145096,movie,Psychic Holistic Spotlight of Rhode Island,,0,2010,\N,Talk-Show
4772,1052848,tt10147376,movie,Hip Hip Hurray,,0,2011,\N,Comedy
4774,1052961,tt1014759,movie,Alice in Wonderland,2,0,2010,108,"Adventure,Family,Fantasy"
4777,1053030,tt10147726,movie,The Lost Island,,0,2010,\N,"Adventure,Fantasy,Horror"
5012,1059279,tt10158634,movie,A Day With SpongeBob SquarePants,,0,2011,70,Animation
5049,1060597,tt1016090,movie,The Cursed,,0,2010,88,"Horror,Romance,Thriller"
5053,1061331,tt1016223,movie,Pax,,0,2010,75,Drama
5054,1061349,tt1016226,movie,Prime of Your Life,,0,2010,93,"Comedy,Drama,Romance"
5055,1061435,tt1016241,movie,Splintered,,0,2010,85,"Horror,Thriller"
5186,1064147,tt10167142,movie,Qing gui tao ran ting,,0,2011,\N,Drama
5187,1064497,tt10167772,movie,Xi Bai Po,,0,2011,\N,Animation
5283,1068295,tt1017451,movie,The Runaways,,0,2010,106,"Biography,Drama,Music"
5284,1068373,tt1017464,movie,The Tortured,,0,2010,79,"Horror,Thriller"
5830,1076730,tt10189298,movie,Guzel Gunler Gorecegiz,,0,2011,112,Drama
5888,1077949,tt10191390,movie,Headless in the city,,0,2010,93,Biography
5975,1079699,tt1019442,movie,Jeffie Was Here,,0,2010,110,"Adventure,Comedy"
5981,1080458,tt10195742,movie,Woyzeck 2010,,0,2010,80,Drama
6116,1082946,tt1020011,movie,Deal,,0,2010,101,"Action,Drama"
6321,1086063,tt1020558,movie,Centurion,,0,2010,97,"Action,Drama,History"
6322,1086069,tt1020559,movie,Patagonia,,0,2010,119,"Adventure,Drama"
6448,1087300,tt1020773,movie,Certified Copy,,0,2010,106,"Drama,Romance"
6470,1088779,tt10210336,movie,Chon-cheol-sal-in,,0,2011,87,Drama
6765,1092828,tt10217352,movie,Corazones en llamas,,0,2011,180,"Action,Drama"
7128,1098202,tt10226816,movie,Life Outside,,0,2011,\N,Drama
7178,1099358,tt1022884,movie,Rising Star,,0,2010,98,Drama
